,cum_positive_density,cum_deceased_density,cum_recovered_density,air_passengers.tsv,available_hospital_beds_nuts2.tsv,causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv,compensation_of_employees_by_nuts2.tsv,deaths.tsv,early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv,employment_thousand_hours_worked_nuts2.tsv,farm_labour_force.tsv,health_personnel_by_nuts2.tsv,hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv,life_expectancy.tsv,longterm_care_beds_per_hundred_thousand_nuts2.tsv,nama_10r_2gdp.tsv,participation_in_education_and_training.tsv,population_nuts2.tsv,pop_density.tsv,pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv,real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv,stock_of_vehicles_by_category_and_nuts2.tsv,students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv,unemployment_rate_nuts2.tsv,utilised_agricultural_area.tsv,young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv
NO07,0.0093117901875359,0.0,0.0,-0.2726153835197812,0.07533033261921306,-0.7540631904379813,-0.41918874244448784,-0.8085432469106908,0.668941882944119,-3.7600225774458976e-16,-0.40818935842808435,-0.6616271031129913,1.8725784053684573e-16,0.05375466711874814,0.5667894890592408,-0.476260306031695,0.4092028265524635,-0.7476181182394219,-0.4016093927887314,-0.6430611123966657,-2.5295773818088987e-15,-0.7590579308540015,-0.5990797295056072,-0.8474134761220617,-0.6552861058157144,-0.7672730441952289
NO03,0.008951310565196,0.0,0.0,-0.5511143542698145,-0.699814792086185,-0.7673750220692821,0.05764334304518787,-0.5412842055261513,0.013896809655118449,-3.7600225774458976e-16,-0.3754800602525186,-0.471663530877359,1.8725784053684573e-16,0.3762826698312268,0.04281026190027127,-0.1463436805620474,0.24716430468033096,-0.42951753017352323,-0.3697208628579918,-0.18444654465425261,-2.5295773818088987e-15,-0.47911106636730716,-0.5724441740818466,-0.5969078757903669,-0.534502364613303,-1.0323335548018788
NO01,0.0624264141670724,0.0,0.0,1.5090449320177464,-0.33460554512693985,-1.8441007720102698,1.238544655665084,-0.5898936036240557,-0.5833501689319114,-3.7600225774458976e-16,-0.41914780350213177,0.0031736069784506367,1.8725784053684573e-16,0.770483562035363,-0.07279491109979919,0.8194906635063536,0.5587768467421241,-0.23922766659853265,-0.07465591120970202,0.07440593184032705,-2.5295773818088987e-15,-0.3669570118077353,0.3141198103689951,-0.5134060090131353,-0.6696731893951242,-1.0500042555089888
HR04,0.0890520395341464,0.0023323969224728,0.0,-0.4455171528148873,0.9191378241185756,1.315444950111087,-0.30859990941312415,1.0957469090696041,-1.623715873567383,0.43706849040062984,0.5248558248084211,0.3082927233811103,0.083623332344464,-1.3438666779686477,-1.1729464182067995,-0.2869093200513795,-1.1737888871214461,0.5803939579322779,-0.29749142156908753,0.05696925527722388,0.08741227768925097,0.11648412924561521,0.6201488264525514,-0.01239480834974536,0.5723713591125829,0.4343346038882513
HR03,0.0903907549996287,0.001451446423866,0.0,-0.11156795294044244,0.6028483295825109,0.9017710243844402,-0.6634524039747954,-0.04555481653786526,-1.8549082523752651,-0.3256602356398311,-0.14203197276599375,-0.4294494037138851,-0.7778809927922427,-0.6271377830520328,-1.2031647324150456,-0.6272602918012202,-1.2485758972162766,-0.21078168337574923,-0.3356552043777639,-0.49753152970046377,-0.05499026923724091,-0.3478254900736414,-0.26361644510138044,-0.01239480834974536,-0.19764616632298712,-0.3078348258103687
SE21,0.1089933348655481,0.0,0.0,-0.6315990750242346,-1.176316475808166,-0.06592031515543083,-0.27825508550432937,-0.5717963308887496,-0.3136257269893817,-0.5740019831357993,-0.35472542943045915,-0.6064902839606989,1.8725784053684573e-16,0.6988106725437004,1.6808672733356587,-0.3403894557222525,1.5559369813398625,-0.514802354915651,-0.3738189871864403,-0.27644646053343536,-0.5533991834799638,-0.5121275504223605,-0.5006469490825861,0.0293561250388705,-0.15471481851832314,-0.9969921533876589
DK01,0.0039999501631344,0.0001912218861845,0.0,1.6387407562567005,-0.7201980222625103,-0.7690390010231948,1.6831200489387812,-0.12813520441194182,-0.6026162004992348,0.0857822102346831,-0.420974211014473,0.21051102066571678,0.12032361219285209,-0.05375466711874305,0.0,1.3173546654872141,1.2318599375955974,0.07429451873473465,0.5608094924703387,0.43600766839051347,0.9240272408823942,-0.17045693793157415,0.816905169234324,-0.3046513420700562,-0.6440692626886222,-0.7142609420738989
DK04,0.0012485486376042,5.2022859900176425e-05,0.0,-0.663730572069604,-1.1900023589265558,-0.5823230468262623,0.4102745387363637,-0.37235573818464096,-0.2750936638547347,-0.40046780405872806,-0.34459716958929415,-0.31888859447621554,-0.4821168861879816,0.12542755661041063,0.0,0.22883359962420088,0.7582088736616716,-0.23943412937998831,-0.2745675386068289,0.07584262303313756,1.3156342449302487,-0.3416778871639237,0.03205050713459297,-0.42990414223590356,0.1947255403460769,-0.7142609420738989
DK05,0.0009475604133329,4.237747823492718e-05,0.0,-0.5989216544853762,-1.1411408443038789,0.1278018662158706,-0.41812265101035695,-0.7007007957303335,-0.5062860426626171,-0.8280341424036933,-0.37680835662513046,-0.7747724507484246,-0.958551374654574,-0.12542755661040556,0.0,-0.46703161162086504,0.6335638568369543,-0.6839955858568684,-0.3095296617839049,-0.5732523906970813,-0.3753959998218483,-0.696212642304314,-0.5010565168235973,-0.36727774215297987,-0.17574488686232145,-0.6082367378312388
DK02,0.0024302599004727,0.0001468904018467,0.0,-0.7109919487916763,-0.8475058541637873,0.3258591506513129,-0.3370679338119106,-0.5150956606805205,0.16802506219370694,-0.7785595329300885,-0.3868535979430072,-0.6354945482022695,-0.7302684277715428,-0.3046097803395592,0.0,-0.3896972750596024,0.7582088736616716,-0.5346282151664877,-0.25586984635828275,-0.3531285609612139,-0.2329934528953564,-0.586755366467647,-0.6107114533503248,-0.4716550756245194,-0.19446382571627163,-0.5552246357099088
